ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
01/30/2020,,India,1/30/20 16:00,1,0,0
01/31/2020,,India,1/31/2020 23:59,1,0,0
02/01/2020,,India,1/31/2020 8:15,1,0,0
02/02/2020,,India,2020-02-02T06:03:08,2,0,0
02/03/2020,,India,2020-02-03T21:43:02,3,0,0
02/04/2020,,India,2020-02-03T21:43:02,3,0,0
02/05/2020,,India,2020-02-03T21:43:02,3,0,0
02/06/2020,,India,2020-02-03T21:43:02,3,0,0
02/07/2020,,India,2020-02-03T21:43:02,3,0,0
02/08/2020,,India,2020-02-03T21:43:02,3,0,0
02/09/2020,,India,2020-02-03T21:43:02,3,0,0
02/10/2020,,India,2020-02-03T21:43:02,3,0,0
02/11/2020,,India,2020-02-03T21:43:02,3,0,0
02/12/2020,,India,2020-02-03T21:43:02,3,0,0
02/13/2020,,India,2020-02-13T18:53:02,3,0,0
02/14/2020,,India,2020-02-13T18:53:02,3,0,0
02/15/2020,,India,2020-02-13T18:53:02,3,0,0
02/16/2020,,India,2020-02-16T07:43:02,3,0,3
02/17/2020,,India,2020-02-16T07:43:02,3,0,3
02/18/2020,,India,2020-02-16T07:43:02,3,0,3
02/19/2020,,India,2020-02-16T07:43:02,3,0,3
02/20/2020,,India,2020-02-16T07:43:02,3,0,3
02/21/2020,,India,2020-02-16T07:43:02,3,0,3
02/22/2020,,India,2020-02-16T07:43:02,3,0,3
02/23/2020,,India,2020-02-16T07:43:02,3,0,3
02/24/2020,,India,2020-02-16T07:43:02,3,0,3
02/25/2020,,India,2020-02-16T07:43:02,3,0,3
02/26/2020,,India,2020-02-16T07:43:02,3,0,3
02/27/2020,,India,2020-02-16T07:43:02,3,0,3
02/28/2020,,India,2020-02-16T07:43:02,3,0,3
02/29/2020,,India,2020-02-16T07:43:02,3,0,3
03/01/2020,,India,2020-02-16T07:43:02,3,0,3
03/02/2020,,India,2020-03-02T22:33:09,5,0,3
03/03/2020,,India,2020-03-02T22:33:09,5,0,3
03/04/2020,,India,2020-03-04T12:33:03,28,0,3
03/05/2020,,India,2020-03-05T13:53:03,30,0,3
03/06/2020,,India,2020-03-06T13:03:12,31,0,3
03/07/2020,,India,2020-03-07T18:13:27,34,0,3
03/08/2020,,India,2020-03-08T09:23:05,39,0,3
03/09/2020,,India,2020-03-09T09:13:17,43,0,3
03/10/2020,,India,2020-03-10T10:13:28,56,0,4
03/11/2020,,India,2020-03-11T22:13:12,62,1,4
03/12/2020,,India,2020-03-12T08:33:13,73,1,4
03/13/2020,,India,2020-03-11T20:00:00,82,2,4
03/14/2020,,India,2020-03-14T20:33:03,102,2,4
03/15/2020,,India,2020-03-15T18:20:18,113,2,13
03/16/2020,,India,2020-03-16T14:38:45,119,2,13
03/17/2020,,India,2020-03-17T15:33:06,142,3,14
03/18/2020,,India,2020-03-18T13:33:12,156,3,14
03/19/2020,,India,2020-03-19T20:43:02,194,4,15
03/20/2020,,India,2020-03-20T15:13:21,244,5,20
